"Line 1","Line 1"
"Line 2","Line 2"
"Line 3","Line 3"
"Line 4","Line 4"
"Endereço: Line 1","Endereço: Line 1"
"Endereço: Line 2","Endereço: Line 2"
"Endereço: Line 3","Endereço: Line 3"
"Endereço: Line 4","Endereço: Line 4"
"Street Address: Line 1","Street Address: Line 1"
"Street Address: Line 2","Street Address: Line 2"
"Street Address: Line 3","Street Address: Line 3"
"Street Address: Line 4","Street Address: Line 4"
"Pick in Store","Pick in Store"
"We could not preselect pickup location based on available information, please select it manually.","We could not preselect pickup location based on available information, please select it manually."
"Please provide postcode or city name to find nearest pickup locations.","Please provide postcode or city name to find nearest pickup locations."
"Search with postcode or city name...","Search with postcode or city name..."